,ClosestCountries5,ClosestCountries10,ClosestCountries30
nan_Afghanistan,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait,nan_Pakistan|nan_Uzbekistan|nan_Iran|nan_Kyrgyzstan|nan_United Arab Emirates|nan_Oman|nan_Qatar|nan_Bahrain|nan_Kazakhstan|nan_Kuwait|nan_Azerbaijan|nan_India|nan_Nepal|nan_Armenia|nan_Iraq|Xinjiang_China|nan_Georgia|Tibet_China|nan_Saudi Arabia|nan_Syria|nan_Bhutan|nan_Yemen|nan_Bangladesh|nan_Jordan|nan_Lebanon|nan_Turkey|nan_West Bank and Gaza|nan_Israel|Qinghai_China|nan_Cyprus
nan_Congo (Kinshasa),nan_Congo (Brazzaville)|nan_Angola|nan_Burundi|nan_Rwanda|nan_Central African Republic,nan_Congo (Brazzaville)|nan_Angola|nan_Burundi|nan_Rwanda|nan_Central African Republic|nan_Gabon|nan_Uganda|nan_Cameroon|nan_Equatorial Guinea|nan_Zambia,nan_Congo (Brazzaville)|nan_Angola|nan_Burundi|nan_Rwanda|nan_Central African Republic|nan_Gabon|nan_Uganda|nan_Cameroon|nan_Equatorial Guinea|nan_Zambia|nan_Tanzania|nan_South Sudan|nan_Malawi|nan_Sao Tome and Principe|nan_Kenya|nan_Zimbabwe|nan_Botswana|nan_Nigeria|nan_Sudan|nan_Namibia|nan_Chad|nan_Mozambique|Illinois_US|Florida_US|Idaho_US|Hawaii_US|Georgia_US|Indiana_US|District of Columbia_US|Alaska_US
nan_Costa Rica,nan_Panama|nan_Nicaragua|nan_Honduras|nan_El Salvador|nan_Guatemala,nan_Panama|nan_Nicaragua|nan_Honduras|nan_El Salvador|nan_Guatemala|Cayman Islands_United Kingdom|nan_Jamaica|nan_Colombia|nan_Cuba|nan_Ecuador,"nan_Panama|nan_Nicaragua|nan_Honduras|nan_El Salvador|nan_Guatemala|Cayman Islands_United Kingdom|nan_Jamaica|nan_Colombia|nan_Cuba|nan_Ecuador|Aruba_Netherlands|nan_Haiti|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Dominican Republic|nan_Bahamas|Turks and Caicos Islands_United Kingdom|nan_Venezuela|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_Peru|Sint Maarten_Netherlands|St Martin_France|nan_Saint Kitts and Nevis|Anguilla_United Kingdom|nan_Grenada|Saint Barthelemy_France|Montserrat_United Kingdom|nan_Trinidad and Tobago"
nan_Cote d'Ivoire,nan_Liberia|nan_Ghana|nan_Guinea|Veteran Hospitals_US|Federal Bureau of Prisons_US,nan_Liberia|nan_Ghana|nan_Guinea|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Burkina Faso|nan_Sierra Leone|nan_Togo|nan_Benin,nan_Liberia|nan_Ghana|nan_Guinea|Veteran Hospitals_US|Federal Bureau of Prisons_US|US Military_US|nan_Burkina Faso|nan_Sierra Leone|nan_Togo|nan_Benin|Idaho_US|Illinois_US|Indiana_US|Iowa_US|Maine_US|Kentucky_US|Louisiana_US|Maryland_US|Massachusetts_US|Kansas_US|Hawaii_US|Colorado_US|District of Columbia_US|Delaware_US|Connecticut_US|Michigan_US|California_US|Arkansas_US|Arizona_US|Alaska_US
nan_Croatia,nan_Slovenia|nan_Bosnia and Herzegovina|nan_San Marino|nan_Austria|nan_Italy,nan_Slovenia|nan_Bosnia and Herzegovina|nan_San Marino|nan_Austria|nan_Italy|nan_Hungary|nan_Holy See|nan_Montenegro|nan_Serbia|nan_Liechtenstein,nan_Slovenia|nan_Bosnia and Herzegovina|nan_San Marino|nan_Austria|nan_Italy|nan_Hungary|nan_Holy See|nan_Montenegro|nan_Serbia|nan_Liechtenstein|nan_Slovakia|nan_Czechia|nan_Kosovo|nan_Switzerland|nan_Albania|nan_Monaco|nan_North Macedonia|nan_Romania|nan_Germany|nan_Poland|nan_Luxembourg|nan_Greece|nan_Bulgaria|nan_France|nan_Malta|nan_Moldova|nan_Belgium|nan_Netherlands|nan_Andorra|nan_Ukraine
nan_Diamond Princess,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US,Nevada_US|Alaska_US|Arizona_US|Nebraska_US|Arkansas_US|Montana_US|Missouri_US|Mississippi_US|Minnesota_US|Michigan_US|Massachusetts_US|Maryland_US|Maine_US|Louisiana_US|Kentucky_US|Kansas_US|Colorado_US|Connecticut_US|Iowa_US|Indiana_US|Illinois_US|Idaho_US|Hawaii_US|Georgia_US|Florida_US|New Hampshire_US|District of Columbia_US|New Jersey_US|New York_US|nan_Diamond Princess
nan_Cuba,Cayman Islands_United Kingdom|nan_Bahamas|nan_Jamaica|Turks and Caicos Islands_United Kingdom|nan_Haiti,Cayman Islands_United Kingdom|nan_Bahamas|nan_Jamaica|Turks and Caicos Islands_United Kingdom|nan_Haiti|nan_Honduras|nan_Dominican Republic|nan_Nicaragua|nan_Guatemala|nan_El Salvador,"Cayman Islands_United Kingdom|nan_Bahamas|nan_Jamaica|Turks and Caicos Islands_United Kingdom|nan_Haiti|nan_Honduras|nan_Dominican Republic|nan_Nicaragua|nan_Guatemala|nan_El Salvador|nan_Costa Rica|Puerto Rico_US|Aruba_Netherlands|nan_Panama|Curacao_Netherlands|Virgin Islands_US|British Virgin Islands_United Kingdom|Bonaire, Sint Eustatius and Saba_Netherlands|Anguilla_United Kingdom|St Martin_France|Sint Maarten_Netherlands|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Bermuda_United Kingdom|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Colombia|Guadeloupe_France|nan_Dominica|Martinique_France"
nan_Cyprus,nan_Lebanon|nan_West Bank and Gaza|nan_Turkey|nan_Israel|nan_Syria,nan_Lebanon|nan_West Bank and Gaza|nan_Turkey|nan_Israel|nan_Syria|nan_Jordan|nan_Iraq|nan_Egypt|nan_Bulgaria|nan_Greece,nan_Lebanon|nan_West Bank and Gaza|nan_Turkey|nan_Israel|nan_Syria|nan_Jordan|nan_Iraq|nan_Egypt|nan_Bulgaria|nan_Greece|nan_Armenia|nan_Georgia|nan_North Macedonia|nan_Albania|nan_Azerbaijan|nan_Kosovo|nan_Romania|nan_Moldova|nan_Serbia|nan_Montenegro|nan_Ukraine|nan_Kuwait|nan_Saudi Arabia|nan_Bosnia and Herzegovina|nan_Malta|nan_Hungary|nan_Libya|nan_Iran|nan_Slovakia|nan_Croatia
nan_Czechia,nan_Austria|nan_Slovakia|nan_Poland|nan_Slovenia|nan_Hungary,nan_Austria|nan_Slovakia|nan_Poland|nan_Slovenia|nan_Hungary|nan_Germany|nan_Croatia|nan_Liechtenstein|nan_Switzerland|nan_Luxembourg,nan_Austria|nan_Slovakia|nan_Poland|nan_Slovenia|nan_Hungary|nan_Germany|nan_Croatia|nan_Liechtenstein|nan_Switzerland|nan_Luxembourg|nan_Bosnia and Herzegovina|nan_San Marino|nan_Netherlands|nan_Serbia|nan_Italy|nan_Denmark|nan_Belgium|nan_Lithuania|nan_Romania|nan_Montenegro|nan_Kosovo|nan_Holy See|nan_Monaco|nan_Belarus|nan_Moldova|nan_Latvia|nan_Albania|nan_North Macedonia|nan_France|nan_Bulgaria
Faroe Islands_Denmark,nan_Iceland|nan_United Kingdom|nan_Norway|Isle of Man_United Kingdom|nan_Ireland,nan_Iceland|nan_United Kingdom|nan_Norway|Isle of Man_United Kingdom|nan_Ireland|nan_Denmark|nan_Sweden|nan_Netherlands|nan_Belgium|Channel Islands_United Kingdom,nan_Iceland|nan_United Kingdom|nan_Norway|Isle of Man_United Kingdom|nan_Ireland|nan_Denmark|nan_Sweden|nan_Netherlands|nan_Belgium|Channel Islands_United Kingdom|nan_Germany|nan_Luxembourg|nan_Finland|nan_Estonia|nan_France|nan_Latvia|Greenland_Denmark|nan_Poland|nan_Lithuania|nan_Czechia|nan_Switzerland|nan_Liechtenstein|nan_Austria|nan_Slovakia|nan_Monaco|nan_Andorra|nan_Belarus|nan_Slovenia|nan_Hungary|nan_Croatia
Greenland_Denmark,nan_Iceland|Faroe Islands_Denmark|Newfoundland and Labrador_Canada|nan_Norway|nan_Sweden,nan_Iceland|Faroe Islands_Denmark|Newfoundland and Labrador_Canada|nan_Norway|nan_Sweden|Quebec_Canada|nan_United Kingdom|Isle of Man_United Kingdom|nan_Ireland|nan_Finland,nan_Iceland|Faroe Islands_Denmark|Newfoundland and Labrador_Canada|nan_Norway|nan_Sweden|Quebec_Canada|nan_United Kingdom|Isle of Man_United Kingdom|nan_Ireland|nan_Finland|Saint Pierre and Miquelon_France|nan_Denmark|Prince Edward Island_Canada|New Brunswick_Canada|Ontario_Canada|nan_Netherlands|Northwest Territories_Canada|Channel Islands_United Kingdom|Nova Scotia_Canada|nan_Estonia|nan_Belgium|Manitoba_Canada|nan_Latvia|nan_Germany|nan_Luxembourg|nan_Lithuania|Yukon_Canada|Saskatchewan_Canada|nan_France|nan_Poland
nan_Denmark,nan_Norway|nan_Netherlands|nan_Germany|nan_Belgium|nan_Luxembourg,nan_Norway|nan_Netherlands|nan_Germany|nan_Belgium|nan_Luxembourg|nan_Poland|nan_United Kingdom|nan_Czechia|nan_Sweden|nan_Lithuania,nan_Norway|nan_Netherlands|nan_Germany|nan_Belgium|nan_Luxembourg|nan_Poland|nan_United Kingdom|nan_Czechia|nan_Sweden|nan_Lithuania|Isle of Man_United Kingdom|nan_Latvia|nan_Estonia|nan_Liechtenstein|nan_Austria|nan_Switzerland|nan_Slovakia|Channel Islands_United Kingdom|Faroe Islands_Denmark|nan_Ireland|nan_Slovenia|nan_Belarus|nan_Hungary|nan_France|nan_Finland|nan_Croatia|nan_San Marino|nan_Monaco|nan_Italy|nan_Bosnia and Herzegovina
nan_Djibouti,nan_Ethiopia|nan_Eritrea|nan_Yemen|nan_Somalia|nan_Sudan,nan_Ethiopia|nan_Eritrea|nan_Yemen|nan_Somalia|nan_Sudan|nan_South Sudan|nan_Saudi Arabia|nan_Kenya|nan_Uganda|nan_Qatar,nan_Ethiopia|nan_Eritrea|nan_Yemen|nan_Somalia|nan_Sudan|nan_South Sudan|nan_Saudi Arabia|nan_Kenya|nan_Uganda|nan_Qatar|nan_Bahrain|nan_United Arab Emirates|nan_Oman|nan_Kuwait|nan_Egypt|nan_Rwanda|nan_Tanzania|nan_Burundi|nan_Jordan|nan_Israel|nan_Seychelles|nan_Iraq|nan_West Bank and Gaza|nan_Central African Republic|nan_Iran|nan_Lebanon|nan_Syria|nan_Chad|Mayotte_France|nan_Cyprus
nan_Dominican Republic,nan_Haiti|Turks and Caicos Islands_United Kingdom|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom,"nan_Haiti|Turks and Caicos Islands_United Kingdom|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|Aruba_Netherlands|Curacao_Netherlands|Anguilla_United Kingdom|Bonaire, Sint Eustatius and Saba_Netherlands|Sint Maarten_Netherlands","nan_Haiti|Turks and Caicos Islands_United Kingdom|Puerto Rico_US|Virgin Islands_US|British Virgin Islands_United Kingdom|Aruba_Netherlands|Curacao_Netherlands|Anguilla_United Kingdom|Bonaire, Sint Eustatius and Saba_Netherlands|Sint Maarten_Netherlands|St Martin_France|nan_Jamaica|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda|Guadeloupe_France|nan_Dominica|nan_Bahamas|Martinique_France|nan_Cuba|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Grenada|Cayman Islands_United Kingdom|nan_Barbados|nan_Belize|nan_Trinidad and Tobago|nan_Venezuela|Bermuda_United Kingdom"
nan_Ecuador,nan_Colombia|nan_Peru|nan_Panama|nan_Costa Rica|nan_Venezuela,"nan_Colombia|nan_Peru|nan_Panama|nan_Costa Rica|nan_Venezuela|nan_Nicaragua|Aruba_Netherlands|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Honduras","nan_Colombia|nan_Peru|nan_Panama|nan_Costa Rica|nan_Venezuela|nan_Nicaragua|Aruba_Netherlands|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|nan_Honduras|nan_El Salvador|nan_Jamaica|nan_Bolivia|nan_Guyana|nan_Trinidad and Tobago|nan_Guatemala|Cayman Islands_United Kingdom|nan_Grenada|nan_Haiti|nan_Dominican Republic|nan_Saint Vincent and the Grenadines|nan_Suriname|Puerto Rico_US|nan_Saint Lucia|Martinique_France|nan_Cuba|nan_Barbados|nan_Belize|nan_Dominica|Virgin Islands_US"
nan_Egypt,nan_Israel|nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus,nan_Israel|nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus|nan_Libya|nan_Syria|nan_Sudan|nan_Turkey|nan_Saudi Arabia,nan_Israel|nan_West Bank and Gaza|nan_Jordan|nan_Lebanon|nan_Cyprus|nan_Libya|nan_Syria|nan_Sudan|nan_Turkey|nan_Saudi Arabia|nan_Iraq|nan_Eritrea|nan_Greece|nan_Chad|nan_Kuwait|nan_Malta|nan_North Macedonia|nan_Bulgaria|nan_Albania|nan_Kosovo|nan_Mauritania|nan_Djibouti|nan_Bahrain|nan_Montenegro|nan_Armenia|nan_South Sudan|nan_Qatar|nan_Serbia|nan_Ethiopia|nan_Georgia
nan_El Salvador,nan_Guatemala|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom,nan_Guatemala|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Panama|nan_Cuba|nan_Jamaica|nan_Bahamas|nan_Mexico,"nan_Guatemala|nan_Honduras|nan_Nicaragua|nan_Costa Rica|Cayman Islands_United Kingdom|nan_Panama|nan_Cuba|nan_Jamaica|nan_Bahamas|nan_Mexico|nan_Haiti|nan_Colombia|Turks and Caicos Islands_United Kingdom|Aruba_Netherlands|nan_Dominican Republic|nan_Ecuador|Curacao_Netherlands|Bonaire, Sint Eustatius and Saba_Netherlands|Puerto Rico_US|nan_Venezuela|Virgin Islands_US|British Virgin Islands_United Kingdom|nan_US|Sint Maarten_Netherlands|Anguilla_United Kingdom|St Martin_France|Saint Barthelemy_France|nan_Saint Kitts and Nevis|Montserrat_United Kingdom|nan_Antigua and Barbuda"
nan_Equatorial Guinea,nan_Cameroon|nan_Gabon|nan_Sao Tome and Principe|nan_Nigeria|Iowa_US,nan_Cameroon|nan_Gabon|nan_Sao Tome and Principe|nan_Nigeria|Iowa_US|Kansas_US|Kentucky_US|Louisiana_US|Maine_US|Michigan_US,nan_Cameroon|nan_Gabon|nan_Sao Tome and Principe|nan_Nigeria|Iowa_US|Kansas_US|Kentucky_US|Louisiana_US|Maine_US|Michigan_US|Massachusetts_US|Indiana_US|Minnesota_US|Mississippi_US|Missouri_US|Maryland_US|Illinois_US|Alabama_US|Montana_US|Georgia_US|Florida_US|District of Columbia_US|Delaware_US|Connecticut_US|Colorado_US|California_US|Arkansas_US|Arizona_US|Alaska_US|Diamond Princess_Canada
nan_Eritrea,nan_Djibouti|nan_Ethiopia|nan_Yemen|nan_Sudan|nan_Saudi Arabia,nan_Djibouti|nan_Ethiopia|nan_Yemen|nan_Sudan|nan_Saudi Arabia|nan_South Sudan|nan_Somalia|nan_Egypt|nan_Qatar|nan_Bahrain,nan_Djibouti|nan_Ethiopia|nan_Yemen|nan_Sudan|nan_Saudi Arabia|nan_South Sudan|nan_Somalia|nan_Egypt|nan_Qatar|nan_Bahrain|nan_Kenya|nan_United Arab Emirates|nan_Kuwait|nan_Uganda|nan_Jordan|nan_Israel|nan_West Bank and Gaza|nan_Oman|nan_Iraq|nan_Lebanon|nan_Syria|nan_Rwanda|nan_Chad|nan_Central African Republic|nan_Iran|nan_Cyprus|nan_Burundi|nan_Tanzania|nan_Libya|nan_Turkey
nan_Estonia,nan_Latvia|nan_Lithuania|nan_Belarus|nan_Finland|nan_Sweden,nan_Latvia|nan_Lithuania|nan_Belarus|nan_Finland|nan_Sweden|nan_Poland|nan_Norway|nan_Denmark|nan_Czechia|nan_Slovakia,nan_Latvia|nan_Lithuania|nan_Belarus|nan_Finland|nan_Sweden|nan_Poland|nan_Norway|nan_Denmark|nan_Czechia|nan_Slovakia|nan_Ukraine|nan_Moldova|nan_Hungary|nan_Germany|nan_Romania|nan_Austria|nan_Netherlands|nan_Slovenia|nan_Luxembourg|nan_Belgium|nan_Liechtenstein|nan_Croatia|nan_Serbia|nan_Bosnia and Herzegovina|nan_Switzerland|nan_United Kingdom|nan_Bulgaria|Faroe Islands_Denmark|nan_Kosovo|nan_Montenegro
nan_Eswatini,nan_Zimbabwe|nan_Botswana|nan_South Africa|nan_Mozambique|nan_Zambia,nan_Zimbabwe|nan_Botswana|nan_South Africa|nan_Mozambique|nan_Zambia|nan_Namibia|nan_Malawi|nan_Madagascar|Mayotte_France|nan_Angola,nan_Zimbabwe|nan_Botswana|nan_South Africa|nan_Mozambique|nan_Zambia|nan_Namibia|nan_Malawi|nan_Madagascar|Mayotte_France|nan_Angola|nan_Tanzania|Reunion_France|nan_Burundi|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Rwanda|nan_Mauritius|nan_Kenya|nan_Uganda|nan_Seychelles|nan_Gabon|nan_South Sudan|nan_Central African Republic|nan_Somalia|nan_Equatorial Guinea|nan_Sao Tome and Principe|nan_Cameroon|nan_Ethiopia|nan_Sudan|nan_Djibouti
nan_Ethiopia,nan_Djibouti|nan_Eritrea|nan_Somalia|nan_South Sudan|nan_Kenya,nan_Djibouti|nan_Eritrea|nan_Somalia|nan_South Sudan|nan_Kenya|nan_Yemen|nan_Sudan|nan_Uganda|nan_Rwanda|nan_Saudi Arabia,nan_Djibouti|nan_Eritrea|nan_Somalia|nan_South Sudan|nan_Kenya|nan_Yemen|nan_Sudan|nan_Uganda|nan_Rwanda|nan_Saudi Arabia|nan_Burundi|nan_Tanzania|nan_Qatar|nan_Bahrain|nan_Egypt|nan_Central African Republic|nan_United Arab Emirates|nan_Oman|nan_Seychelles|nan_Kuwait|nan_Chad|nan_Jordan|Mayotte_France|nan_Israel|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Malawi|nan_West Bank and Gaza|nan_Iraq|nan_Lebanon
nan_Fiji,American Samoa_US|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France,American Samoa_US|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_Papua New Guinea|Victoria_Australia|Tasmania_Australia,"American Samoa_US|New Caledonia_France|nan_New Zealand|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_Papua New Guinea|Victoria_Australia|Tasmania_Australia|South Australia_Australia|Guam_US|Northern Mariana Islands_US|Northern Territory_Australia|nan_Timor-Leste|Western Australia_Australia|nan_Philippines|nan_Indonesia|nan_Japan|nan_Brunei|nan_Malaysia|nan_Taiwan*|nan_Korea, South|Fujian_China|Zhejiang_China|Shanghai_China|Hong Kong_China|Macau_China|Guangdong_China|Jiangsu_China"
nan_Finland,nan_Sweden|nan_Estonia|nan_Latvia|nan_Norway|nan_Lithuania,nan_Sweden|nan_Estonia|nan_Latvia|nan_Norway|nan_Lithuania|nan_Belarus|nan_Denmark|nan_Poland|Faroe Islands_Denmark|nan_Czechia,nan_Sweden|nan_Estonia|nan_Latvia|nan_Norway|nan_Lithuania|nan_Belarus|nan_Denmark|nan_Poland|Faroe Islands_Denmark|nan_Czechia|nan_Slovakia|nan_Germany|nan_Ukraine|nan_Netherlands|nan_Moldova|nan_United Kingdom|nan_Hungary|nan_Belgium|nan_Austria|nan_Luxembourg|nan_Romania|Isle of Man_United Kingdom|nan_Slovenia|nan_Iceland|nan_Liechtenstein|nan_Switzerland|nan_Croatia|nan_Serbia|nan_Ireland|nan_Bosnia and Herzegovina
French Guiana_France,nan_Suriname|nan_Guyana|nan_Trinidad and Tobago|nan_Barbados|nan_Belize,nan_Suriname|nan_Guyana|nan_Trinidad and Tobago|nan_Barbados|nan_Belize|nan_Grenada|nan_Saint Vincent and the Grenadines|nan_Saint Lucia|Martinique_France|nan_Venezuela,"nan_Suriname|nan_Guyana|nan_Trinidad and Tobago|nan_Barbados|nan_Belize|nan_Grenada|nan_Saint Vincent and the Grenadines|nan_Saint Lucia|Martinique_France|nan_Venezuela|nan_Dominica|Guadeloupe_France|Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Saint Kitts and Nevis|Saint Barthelemy_France|Bonaire, Sint Eustatius and Saba_Netherlands|Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|Curacao_Netherlands|nan_Brazil|British Virgin Islands_United Kingdom|Virgin Islands_US|Aruba_Netherlands|Puerto Rico_US|nan_Colombia|nan_Dominican Republic|nan_Bolivia|nan_Haiti"
French Polynesia_France,Queensland_Australia|nan_Papua New Guinea|New Caledonia_France|New South Wales_Australia|Australian Capital Territory_Australia,Queensland_Australia|nan_Papua New Guinea|New Caledonia_France|New South Wales_Australia|Australian Capital Territory_Australia|Northern Territory_Australia|South Australia_Australia|Victoria_Australia|Tasmania_Australia|nan_Timor-Leste,Queensland_Australia|nan_Papua New Guinea|New Caledonia_France|New South Wales_Australia|Australian Capital Territory_Australia|Northern Territory_Australia|South Australia_Australia|Victoria_Australia|Tasmania_Australia|nan_Timor-Leste|nan_Fiji|Guam_US|nan_New Zealand|Northern Mariana Islands_US|Western Australia_Australia|nan_Indonesia|American Samoa_US|nan_Brunei|nan_Philippines|nan_Malaysia|nan_Singapore|nan_Taiwan*|Hong Kong_China|nan_Cambodia|nan_Vietnam|Macau_China|Fujian_China|Hainan_China|Guangdong_China|nan_Japan
Guadeloupe_France,Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Dominica|nan_Saint Kitts and Nevis|Martinique_France,Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Dominica|nan_Saint Kitts and Nevis|Martinique_France|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|nan_Saint Lucia|Anguilla_United Kingdom,"Montserrat_United Kingdom|nan_Antigua and Barbuda|nan_Dominica|nan_Saint Kitts and Nevis|Martinique_France|Saint Barthelemy_France|Sint Maarten_Netherlands|St Martin_France|nan_Saint Lucia|Anguilla_United Kingdom|nan_Saint Vincent and the Grenadines|nan_Belize|nan_Barbados|British Virgin Islands_United Kingdom|Virgin Islands_US|nan_Grenada|Puerto Rico_US|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|nan_Dominican Republic|Aruba_Netherlands|nan_Haiti|nan_Venezuela|Turks and Caicos Islands_United Kingdom|nan_Guyana|nan_Suriname|French Guiana_France|nan_Jamaica|Bermuda_United Kingdom"
Mayotte_France,nan_Madagascar|nan_Malawi|nan_Mozambique|nan_Tanzania|Reunion_France,nan_Madagascar|nan_Malawi|nan_Mozambique|nan_Tanzania|Reunion_France|nan_Seychelles|nan_Mauritius|nan_Kenya|nan_Zimbabwe|nan_Zambia,nan_Madagascar|nan_Malawi|nan_Mozambique|nan_Tanzania|Reunion_France|nan_Seychelles|nan_Mauritius|nan_Kenya|nan_Zimbabwe|nan_Zambia|nan_Burundi|nan_Somalia|nan_Rwanda|nan_Eswatini|nan_Uganda|nan_Botswana|nan_Ethiopia|nan_South Sudan|nan_Djibouti|nan_Congo (Kinshasa)|nan_Congo (Brazzaville)|nan_Angola|nan_South Africa|nan_Namibia|nan_Eritrea|nan_Yemen|nan_Sudan|nan_Central African Republic|nan_Maldives|nan_Gabon
New Caledonia_France,nan_Fiji|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia,nan_Fiji|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_New Zealand|American Samoa_US|Victoria_Australia|nan_Papua New Guinea|Tasmania_Australia,"nan_Fiji|Queensland_Australia|French Polynesia_France|New South Wales_Australia|Australian Capital Territory_Australia|nan_New Zealand|American Samoa_US|Victoria_Australia|nan_Papua New Guinea|Tasmania_Australia|South Australia_Australia|Northern Territory_Australia|Guam_US|nan_Timor-Leste|Northern Mariana Islands_US|Western Australia_Australia|nan_Indonesia|nan_Philippines|nan_Brunei|nan_Malaysia|nan_Taiwan*|nan_Japan|nan_Singapore|Fujian_China|Hong Kong_China|Zhejiang_China|Macau_China|nan_Korea, South|Shanghai_China|Guangdong_China"
Reunion_France,nan_Mauritius|nan_Madagascar|Mayotte_France|nan_Seychelles|nan_Mozambique,nan_Mauritius|nan_Madagascar|Mayotte_France|nan_Seychelles|nan_Mozambique|nan_Malawi|nan_Eswatini|nan_Zimbabwe|nan_Tanzania|nan_Zambia,nan_Mauritius|nan_Madagascar|Mayotte_France|nan_Seychelles|nan_Mozambique|nan_Malawi|nan_Eswatini|nan_Zimbabwe|nan_Tanzania|nan_Zambia|nan_Kenya|nan_Somalia|nan_Botswana|nan_Maldives|nan_Burundi|nan_South Africa|nan_Rwanda|nan_Uganda|nan_Ethiopia|nan_Namibia|nan_Djibouti|nan_South Sudan|nan_Congo (Brazzaville)|nan_Congo (Kinshasa)|nan_Yemen|nan_Angola|nan_Sri Lanka|nan_Eritrea|nan_Sudan|nan_Oman
Saint Barthelemy_France,Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda,Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|Montserrat_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica,"Sint Maarten_Netherlands|St Martin_France|Anguilla_United Kingdom|nan_Saint Kitts and Nevis|nan_Antigua and Barbuda|Montserrat_United Kingdom|British Virgin Islands_United Kingdom|Virgin Islands_US|Guadeloupe_France|nan_Dominica|Puerto Rico_US|Martinique_France|nan_Saint Lucia|nan_Saint Vincent and the Grenadines|nan_Barbados|nan_Belize|nan_Grenada|nan_Dominican Republic|nan_Trinidad and Tobago|Bonaire, Sint Eustatius and Saba_Netherlands|Curacao_Netherlands|Aruba_Netherlands|nan_Haiti|Turks and Caicos Islands_United Kingdom|nan_Venezuela|nan_Guyana|nan_Jamaica|Bermuda_United Kingdom|nan_Bahamas|nan_Suriname"
